id,value
11/1/04,0.5992
10/1/12,0.9259
1/1/07,5.9182
2/1/06,9.2365
6/1/07,22.7446
1/1/12,5.659
9/1/12,5.7535
2/1/13,3.7042
9/1/10,2.3407
8/1/11,15.1873
6/1/06,27.1375
8/1/13,18.7162
1/1/05,-1.2773
5/1/07,23.4412
7/1/07,20.4928
3/1/09,14.4583
8/1/09,13.0246
9/1/09,3.8797
2/1/10,5.6914
11/1/08,0.205
4/1/13,23.2306
11/1/12,-2.5868
10/1/14,-1.3853
12/1/07,6.6688
11/1/05,-1.0235
6/1/11,28.8601
6/1/12,22.6987
11/1/11,-0.4727
6/1/13,24.208
7/1/08,20.8519
12/1/12,3.3964
9/1/07,7.2034
5/1/06,31.6249
2/1/09,9.6793
11/1/13,-0.6887
11/1/09,0.0835
7/1/06,23.1523
12/1/06,-5.4002
5/1/09,28.3363
12/1/09,2.1463
2/1/12,7.2574
10/1/11,-2.4545
6/1/10,24.478
1/1/11,1.7251
10/1/05,6.685
1/1/13,0.6856
2/1/05,8.9098
5/1/14,24.2971
5/1/05,30.1723
2/1/11,6.2179
8/1/14,14.0128
12/1/13,-1.0181
4/1/11,22.9795
6/1/05,25.3528
11/1/06,1.0582
8/1/06,12.3766
10/1/07,1.1176
4/1/12,18.6487
12/1/05,-3.8558
8/1/10,7.0252
10/1/06,-1.7417
3/1/07,9.9169
6/1/09,25.3879
9/1/05,6.7498
5/1/11,26.2492
4/1/14,18.43
8/1/08,13.9561
11/1/10,2.6971
3/1/13,18.5056
12/1/11,-2.2223
7/1/09,19.9366
9/1/14,2.0653
12/1/08,-1.5905
10/1/13,0.3481
1/1/08,6.1261
1/1/14,-1.4744
7/1/10,19.6207
3/1/14,14.947
12/1/10,-2.3141
4/1/08,19.9879
7/1/12,22.075
4/1/07,20.9626
8/1/07,12.3523
7/1/13,20.9032
11/1/07,-0.4457
5/1/12,23.02
3/1/10,14.9713
3/1/11,13.1812
1/1/10,6.0478
2/1/14,9.7171
9/1/08,5.5618
1/1/09,0.6478
8/1/05,12.2146
10/1/08,-2.2547
3/1/06,17.0746
2/1/08,4.0687
4/1/05,23.9407
3/1/12,13.8076
4/1/10,24.4186
9/1/11,8.3806
3/1/05,14.0236
5/1/08,25.1503
10/1/09,0.1321
7/1/14,18.4354
5/1/13,26.6731
9/1/06,3.2992
4/1/06,22.0183
7/1/05,22.2829
6/1/08,23.128
10/1/10,3.1507
